"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"P2RX6P",4.52228343320931,-1.83100496777884,0.432828457057002,-4.23032482713516,2.33354102117258e-05,0.00429193565953462
"FOXJ1",78.2774477873959,1.88857064486637,0.447051428520349,4.22450421670087,2.39467368380006e-05,0.00436736159323637
"KIF2B",6.56808783049112,-2.11289468683511,0.501368294727025,-4.21425668327412,2.50602152183203e-05,0.00449489132961327
"SPACA6P-AS",35.9836541758139,1.18192477906928,0.280413215477535,4.21493964561014,2.49844995497554e-05,0.00449489132961327
"HSPB7",33.6731875304192,1.11201439794167,0.264377214455376,4.20616580075727,2.5973970953468e-05,0.00462059911150096
"LINC01521",195.612982315004,-0.56943337305831,0.135853421608046,-4.19152765030238,2.77082410849248e-05,0.00481081565012898
"DUSP4",95.4909741997976,-1.4104774969354,0.336372021544074,-4.19320694527677,2.75038319762226e-05,0.00481081565012898
"LOC102724596",35.4918753563999,1.60399568303488,0.382386819299015,4.19469396454432,2.73240249589734e-05,0.00481081565012898
"CARTPT",102.885707006931,-2.470899386895,0.591662404321446,-4.17619806303018,2.96421747423025e-05,0.00509664969151532
"LBX2",14.5586894811976,1.52144305356464,0.364434555822901,4.1748045822087,2.98241953104385e-05,0.00509664969151532
"MPV17L2",86.558070623099,-0.663158787168792,0.159067234167546,-4.16904707395794,3.0587581532503e-05,0.00518626782812432
"DPH2",203.614652749625,-0.463801805486332,0.11138165468439,-4.1640771705229,3.12614375698938e-05,0.00521897676599542
"IL33",132.167986097761,-1.21896559707913,0.292704950258254,-4.1644857594777,3.12055102141162e-05,0.00521897676599542
"SMG5",1983.19160794996,0.430523937245901,0.103675481413863,4.15261092955326,3.28703327238002e-05,0.00536379572259125
"RPLP0P2",40.6611438123047,-1.5625580809175,0.37616910170708,-4.15387142066295,3.26896910138597e-05,0.00536379572259125
"CIAPIN1",240.673433841253,-0.459182075657532,0.110566712023041,-4.15298662007643,3.28163933387166e-05,0.00536379572259125
"LOC100129316",27.2369433286057,1.42822415664961,0.344483352447879,4.14598890338453,3.38350212974552e-05,0.00548001094939306
"ZNF554",169.540270450842,-0.48127433593658,0.11622179914369,-4.1409988443008,3.45796703145692e-05,0.00551825430027276
"MAX",554.724551294962,0.457399900860231,0.110443409422361,4.14148660614985,3.45062026255557e-05,0.00551825430027276
"WDR46",295.676611710434,-0.458472660342263,0.11086762007726,-4.13531615473271,3.5446629406252e-05,0.00561531531389698
"KRT5",8.45061001510902,-2.08147634446518,0.504263536940143,-4.12775501694119,3.66322077833305e-05,0.00576107830088132
"SYS1",309.154498902475,0.399608651325383,0.0968577461006225,4.12572734152045,3.69564904603091e-05,0.0057702641184179
"LYG1",30.6028212956326,0.969397118559346,0.2351592557229,4.12230050473385,3.75107423371268e-05,0.00577372794994796
"FAM53B-AS1",47.803550992671,1.2367720726514,0.299972418653962,4.12295263078201,3.74046640722221e-05,0.00577372794994796
"ZNF441",207.395950345976,-0.750177115949919,0.182383506216484,-4.11318507639325,3.90237276414941e-05,0.00592260112589752
"LOC101928505",2.77257267299222,-2.31725669845577,0.563363069187733,-4.11325630875455,3.90116830114084e-05,0.00592260112589752
"FBXL19-AS1",71.4045758614621,0.948448004032222,0.230826832824111,4.10891572885261,3.97521088795465e-05,0.00599125013203331
"LINC00638",38.3255362589522,1.32893994087062,0.324092720834035,4.10049302388115,4.12270864693643e-05,0.00617069970789388
"MAS1",29.503563937679,-2.05532484655798,0.502264855195632,-4.09211360360349,4.27459135883647e-05,0.00635420933293342
