"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C17orf102",-1.1574319339981,5.07322131161323,-4.2180683380463,0.000396860808599693,0.0287566298817526,0.168203327502797
"PTOV1-AS2",1.01123455113332,6.92258056316956,4.21627803024096,0.000398551721005626,0.0287572026353261,0.164279650260932
"TSHR",1.2269072807768,5.60636308095694,4.2039766915472,0.000410366722112558,0.0288035963175483,0.137319967460466
"OTOGL",-1.22581715427845,6.82700252999483,-4.20384458612118,0.000410495488661389,0.0288035963175483,0.137030446879972
"SAP25",1.12824455932612,6.13181592411153,4.19505562653877,0.000419153756344454,0.0289615700630094,0.117768828487605
"HIGD1C",1.2257429507232,2.38128882316317,4.19188702732524,0.000422319848762267,0.0289615700630094,0.110824707496215
"SPATA19",-1.18235218112877,1.03417888095276,-4.19147400119347,0.000422734306854099,0.0289615700630094,0.109919546790382
"LOC108783645",1.32697944016683,2.55830544321598,4.17322448942622,0.000441459024975574,0.0296455033356122,0.0699261695544395
"TNFRSF6B",1.06966397530242,2.6880924357244,4.16361731806363,0.000451647330697806,0.0299441736550668,0.04887327952388
"LOC100129620",-1.08283940422961,2.83448204460144,-4.15361414996505,0.00046250548733683,0.0302197201083358,0.0269535252063902
"MIR6758",1.05695310657362,1.98939477429891,4.15274538976072,0.000463460728876832,0.0302197201083358,0.0250498758808142
"ZBBX",-1.28644298782019,6.37223609803197,-4.15080243561424,0.000465604239044762,0.0302197201083358,0.0207924554303833
"MIR6717",1.35990072426358,4.29171666032327,4.14940372239297,0.000467153462381359,0.0302343824207197,0.0177276070839181
"LBX2-AS1",1.58916848551198,3.12697085475146,4.13842313059375,0.000479495978760216,0.030400156931015,-0.00633216809222148
"C17orf82",1.2690131767282,2.50420758921774,4.13355677020825,0.000485069621344732,0.0305280336313809,-0.0169944512038791
"LINC00463",1.69361580484462,3.53332438517348,4.13005323975571,0.000489122395376595,0.0305280336313809,-0.0246705499593221
"RFX8",-1.2407247769252,3.45875265250127,-4.12633036634548,0.00049346597885379,0.0305655981879071,-0.0328270295909396
"WNT1",-1.14692790051779,5.14728356230906,-4.12218913839962,0.000498342957167431,0.0307239490635393,-0.0418998459087545
"OVOL3",1.30371729623922,4.36792741355709,4.11822520687362,0.000503056233861057,0.0308079359472923,-0.0505839855644199
"F3",-1.41232138444865,9.52878875746889,-4.11469598195442,0.000507290083459193,0.0308170997623243,-0.0583155640234398
"MCHR1",-1.31437682619944,6.24295784795867,-4.10241129786304,0.000522306918579077,0.0311432674748359,-0.0852263464148653
"SPTSSB",-1.11114245807098,5.96769318706435,-4.09122651307849,0.000536364921070525,0.0314969270749856,-0.109725297747056
"DSPP",1.06993387807048,1.04570750268894,4.08825729444657,0.0005401599271019,0.0316150361520669,-0.116228609356634
"LINC01068",1.56907568872426,1.70876152994745,4.08165488212273,0.000548694913532472,0.0319444055882746,-0.13068884779559
"LINC01257",-1.81684998405134,2.61404933559129,-4.07695531704851,0.000554851952385575,0.0321648151030356,-0.140981008385086
"LOC101929705",-1.1534149553453,3.20050754134793,-4.07148347427736,0.000562107701631252,0.032380701940961,-0.152963857862052
"LOC101926941",-1.223931307928,3.42166950676464,-4.07132992338738,0.000562312672525994,0.032380701940961,-0.153300110851509
"SLC4A9",1.09846549178873,5.46986706325066,4.07055352025808,0.000563350214380154,0.032380701940961,-0.155000306762453
"NUP210L",1.26534989621889,6.18090231839352,4.06138660425228,0.000575745744545479,0.0327326537792884,-0.17507327978926
"LOC100506136",1.62409938011187,4.68499172961925,4.05493771244375,0.000584628638932073,0.0329749999464181,-0.189193313594469
"HSPB7",1.03669666710225,5.03079210631833,4.0476596135548,0.000594818009961187,0.033235753544619,-0.205127641899522
"IL33",-1.13564627070581,6.87711074114338,-4.0100041591409,0.000650432819793451,0.0347366976397566,-0.287544823948732
"CHGB",-1.13191897071949,10.173835034099,-3.98120422565437,0.000696439979988604,0.0361962004925112,-0.350549021015148
"LINC01219",-2.02334157831522,2.56335682047963,-3.97326460453684,0.000709683720317499,0.0365345717878819,-0.367912876895894
"ITPKB-IT1",1.14474757589571,5.31377463228502,3.97176468507662,0.000712213687779135,0.0365953737678938,-0.371192912730637
"EPS8L3",1.56853240077219,3.6271646873455,3.96876209573456,0.000717305272479629,0.0366498194893438,-0.377758736705213
